Date,IC,IC_MA_30,IC_Sharpe_60
2024-01-16,-0.07066306630663065,,
2024-01-17,0.05554155415541554,,
2024-01-18,0.036663666366636656,,
2024-01-19,0.01969396939693969,,
2024-01-22,-0.00876087608760876,,
2024-01-23,-0.009492949294929493,,
2024-01-24,-0.06853885388538854,,
2024-01-25,-0.1243204320432043,,
2024-01-26,-0.14705070507050702,,
2024-01-29,-0.10976297629762975,,
2024-01-30,-0.006024602460246023,,
2024-01-31,0.025538553855385535,,
2024-02-01,0.06079807980798079,,
2024-02-02,0.03344734473447344,,
2024-02-05,0.14798679867986797,,
2024-02-06,0.04483648364836484,,
2024-02-07,0.12943294329432942,,
2024-02-08,0.16657665766576654,,
2024-02-09,0.20879687968796878,,
2024-02-12,0.06233423342334232,,
2024-02-13,0.13401740174017399,,
2024-02-14,0.07240324032403239,,
2024-02-15,0.00888088808880888,,
2024-02-16,0.1079147914791479,,
2024-02-20,0.022406240624062403,,
2024-02-21,0.10480648064806479,,
2024-02-22,0.16832883288328832,,
2024-02-23,0.23909990999099906,,
2024-02-26,0.32471647164716466,,
2024-02-27,0.24703270327032703,0.06255465546554655,
2024-02-28,0.30235823582358234,0.07498869886988697,
2024-02-29,0.3511551155115511,0.08484248424842482,
2024-03-01,0.17038103810381036,0.0892997299729973,
2024-03-04,0.24320432043204318,0.09675007500750074,
2024-03-05,0.15055505550555054,0.10206060606060605,
2024-03-06,0.22798679867986799,0.10997659765976597,
2024-03-07,0.14226222622262225,0.11700330033003299,
2024-03-08,0.1335013501350135,0.12559735973597358,
2024-03-11,0.20354035403540352,0.13728372837283725,
2024-03-12,0.17977797779777976,0.14693509350935094,
2024-03-13,0.03506750675067506,0.14830483048304827,
2024-03-14,0.14484248424842483,0.15228162816281626,
2024-03-15,-0.02375037503750375,0.14946334633463343,
2024-03-18,0.010765076507650764,0.1487072707270727,
2024-03-19,-0.05258925892589258,0.14202140214021403,
2024-03-20,0.11519951995199519,0.14436683668366834,
2024-03-21,-0.0859045904590459,0.13718891889188917,
2024-03-22,-0.09520552055205518,0.12846284628462845,
2024-03-25,-0.22096609660966096,0.11413741374137414,
2024-03-26,-0.2857125712571257,0.10253585358535852,
2024-03-27,-0.17566156615661566,0.09221322132213221,
2024-03-28,-0.1369096909690969,0.08523612361236124,
2024-04-01,-0.16328832883288327,0.07949714971497149,
2024-04-02,-0.12121212121212122,0.07185958595859585,
2024-04-03,-0.2665466546654665,0.06222782278227822,
2024-04-04,-0.23735973597359733,0.05082228222822282,
2024-04-05,-0.11015901590159015,0.041539353935393535,
2024-04-08,-0.142994299429943,0.028802880288028798,
2024-04-09,-0.18883888388838885,0.01168436843684368,
2024-04-10,-0.21257725772577257,-0.003635963596359637,0.18866782847415978
2024-04-11,-0.3073147314731473,-0.023958395839583962,0.15788179872257257
2024-04-12,-0.3144314431443144,-0.046144614461446146,0.11558599835223615
2024-04-15,-0.1306930693069307,-0.05618041804180418,0.09827927977863825
2024-04-16,-0.06742274227422741,-0.06653465346534654,0.0894776377949845
2024-04-17,0.10060606060606059,-0.06819961996199621,0.10007892823018368
2024-04-18,0.23150315031503146,-0.06808240824082408,0.12222605164306233
2024-04-19,0.36421242124212416,-0.06068406840684069,0.1594745816465725
2024-04-22,0.38103810381038095,-0.05243284328432843,0.20191803324666344
2024-04-23,0.27657965796579653,-0.049998199819982,0.23960033585800353
2024-04-24,0.28270027002700265,-0.046567456745674564,0.2733516596542038
2024-04-25,0.23667566756675665,-0.03984718471847185,0.29313525556607267
2024-04-26,0.16157215721572152,-0.039289528952895295,0.304608032027787
2024-04-29,0.2296429642964296,-0.030843084308430854,0.317482710726015
2024-04-30,0.17803780378037803,-0.025267326732673276,0.32933810626012183
2024-05-01,0.20686468646864684,-0.016618861886188625,0.3334843634547394
2024-05-02,0.021110111011101104,-0.01975517551755176,0.3312699061552071
2024-05-03,0.008652865286528652,-0.016603260326032612,0.32071085580917624
2024-05-06,-0.12998499849984996,-0.017762576257625774,0.2927783750223087
